KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
28230841;570826;Kosmonosy;;;;;402885;Kosmonosy;290874;Tyröova;Ë.p.;1240;;;29306;702270.58;1009599.47;2013-12-05T00:00:00
28230850;570826;Kosmonosy;;;;;402885;Kosmonosy;789445;PolnÌ;Ë.p.;1186;;;29306;702583.00;1009131.00;2013-12-05T00:00:00
28245105;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;126;;;29301;698970.35;1008196.65;2023-04-25T00:00:00
28282540;570826;Kosmonosy;;;;;402885;Kosmonosy;290734;LÌpy;Ë.p.;1243;;;29306;701858.55;1008793.58;2013-12-05T00:00:00
28288637;570826;Kosmonosy;;;;;402885;Kosmonosy;771465;OkruûnÌ;Ë.p.;1127;;;29306;702418.44;1008411.15;2014-02-14T00:00:00
28294637;570826;Kosmonosy;;;;;402885;Kosmonosy;290726;Linhartova;Ë.p.;1245;;;29306;701783.88;1009108.75;2013-12-05T00:00:00
28294645;570826;Kosmonosy;;;;;402885;Kosmonosy;290726;Linhartova;Ë.p.;1244;;;29306;701730.74;1009104.30;2013-12-05T00:00:00
28379861;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;151;;;29301;699664.03;1008391.54;2023-04-25T00:00:00
28379870;570826;Kosmonosy;;;;;402885;Kosmonosy;771457;Na Svahu;Ë.p.;1095;;;29306;702229.58;1008487.62;2014-02-14T00:00:00
28383834;570826;Kosmonosy;;;;;402885;Kosmonosy;290921;Wolkerova;Ë.p.;1246;;;29306;702599.48;1008835.08;2014-02-17T00:00:00
