Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
7217960;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;203;;;54906;621672.57;1033508.94;2013-11-29T00:00:00
7217978;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;204;;;54906;621643.50;1033246.96;2013-11-29T00:00:00
7217986;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;205;;;54906;621626.43;1033876.70;2013-11-29T00:00:00
7217994;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;206;;;54906;621617.09;1032853.52;2013-11-29T00:00:00
7218001;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;207;;;54906;621531.36;1033876.89;2013-11-29T00:00:00
7218010;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;208;;;54906;621481.51;1032739.37;2013-11-29T00:00:00
7218028;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;209;;;54906;621761.61;1033482.26;2013-11-29T00:00:00
7218036;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;210;;;54906;621642.07;1033404.43;2013-11-29T00:00:00
7218044;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;211;;;54906;621518.51;1033896.74;2013-11-29T00:00:00
7218052;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;212;;;54906;621501.33;1032890.63;2013-11-29T00:00:00
7218061;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;213;;;54906;621680.87;1033590.38;2013-11-29T00:00:00
7218087;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;215;;;54906;621590.75;1033212.45;2013-11-29T00:00:00
7218095;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;216;;;54906;621570.85;1033140.78;2013-11-29T00:00:00
7218109;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;217;;;54906;621654.93;1033166.70;2013-11-29T00:00:00
7218125;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;219;;;54906;621598.59;1032790.73;2013-11-29T00:00:00
7218133;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;220;;;54906;622228.18;1033072.56;2013-11-29T00:00:00
7218141;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;221;;;54906;621830.07;1032262.18;2013-11-29T00:00:00
7218150;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;222;;;54906;621608.27;1032888.66;2013-11-29T00:00:00
7218168;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;223;;;54906;621615.43;1032733.45;2013-11-29T00:00:00
7218176;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;224;;;54906;621703.84;1032306.62;2013-11-29T00:00:00
7218184;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;225;;;54906;621447.37;1032797.74;2013-11-29T00:00:00
7218206;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;227;;;54906;621592.14;1032702.33;2013-11-29T00:00:00
7218214;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;228;;;54906;621567.54;1032864.41;2013-11-29T00:00:00
7218222;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;229;;;54906;621385.74;1032887.99;2013-11-29T00:00:00
7218231;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;230;;;54906;621756.19;1033427.06;2013-11-29T00:00:00
7218249;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;231;;;54906;621683.47;1032368.77;2013-11-29T00:00:00
7218257;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;232;;;54906;621724.47;1033542.97;2013-11-29T00:00:00
7218273;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;234;;;54906;621582.80;1032536.89;2013-11-29T00:00:00
7218281;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;235;;;54906;621946.02;1032710.08;2013-11-29T00:00:00
7218290;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;236;;;54906;621613.30;1032634.29;2013-11-29T00:00:00
7218303;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;237;;;54906;621646.11;1032602.82;2013-11-29T00:00:00
7218311;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;238;;;54906;621575.86;1032707.24;2013-11-29T00:00:00
